2019-11-26 17:23:55.053 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xgit.kafka.KafkaApplicationTests], using SpringBootContextLoader
2019-11-26 17:23:55.064 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xgit.kafka.KafkaApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-26 17:23:55.065 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xgit.kafka.KafkaApplicationTests]: KafkaApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-26 17:23:55.190 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xgit.kafka.KafkaApplication for test class com.xgit.kafka.KafkaApplicationTests
2019-11-26 17:23:55.344 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2019-11-26 17:23:55.371 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@21d03963, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f760b47, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@18ece7f4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3cce57c7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1cf56a1c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@33f676f6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4c5ae43b, org.springframework.test.context.event.EventPublishingTestExecutionListener@264f218, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3576ddc2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@35b74c5c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2e570ded, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@b86de0d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@81d9a72]
2019-11-26 17:23:55.782 [main] INFO  com.xgit.kafka.KafkaApplicationTests - Starting KafkaApplicationTests on wanghuxiong with PID 15540 (started by win in D:\GitProject\KafkaMonitoring)
2019-11-26 17:23:55.784 [main] INFO  com.xgit.kafka.KafkaApplicationTests - No active profile set, falling back to default profiles: default
2019-11-26 17:23:57.529 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-26 17:23:58.177 [main] INFO  com.xgit.kafka.KafkaApplicationTests - Started KafkaApplicationTests in 2.748 seconds (JVM running for 4.237)
2019-11-26 17:23:58.542 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
